,train,val,test
C3L-00977-22,True,False,False
C3L-00977-26,True,False,False
C3L-00987-21,True,False,False
C3L-00987-22,True,False,False
C3L-00987-23,True,False,False
C3L-00987-24,True,False,False
C3L-00987-26,True,False,False
C3L-00987-27,True,False,False
C3L-00994-21,True,False,False
C3L-00994-22,True,False,False
C3L-00994-23,True,False,False
C3L-00994-24,True,False,False
C3L-00994-26,True,False,False
C3L-00994-27,True,False,False
C3L-00995-21,True,False,False
C3L-00995-22,True,False,False
C3L-00995-23,True,False,False
C3L-00995-24,True,False,False
C3L-00995-26,True,False,False
C3L-00995-27,True,False,False
C3L-00997-21,True,False,False
C3L-00997-24,True,False,False
C3L-00997-27,True,False,False
C3L-00999-21,True,False,False
C3L-00999-24,True,False,False
C3L-00999-26,True,False,False
C3L-01138-21,True,False,False
C3L-01138-26,True,False,False
C3L-01237-24,True,False,False
C3L-01237-26,True,False,False
C3L-02617-21,True,False,False
C3L-02617-22,True,False,False
C3L-02617-23,True,False,False
C3L-02617-24,True,False,False
C3L-02617-25,True,False,False
C3L-02617-26,True,False,False
C3L-02617-27,True,False,False
C3L-02617-28,True,False,False
C3L-02621-21,True,False,False
C3L-02621-22,True,False,False
C3L-02621-23,True,False,False
C3L-02621-24,True,False,False
C3L-02621-25,True,False,False
C3L-02621-26,True,False,False
C3L-02621-27,True,False,False
C3L-02621-28,True,False,False
C3L-02651-21,True,False,False
C3L-02651-22,True,False,False
C3L-02651-23,True,False,False
C3L-02651-24,True,False,False
C3L-02651-25,True,False,False
C3L-02651-26,True,False,False
C3L-02651-27,True,False,False
C3L-02651-28,True,False,False
C3L-03378-24,True,False,False
C3L-03378-25,True,False,False
C3L-04025-21,True,False,False
C3L-04025-22,True,False,False
C3L-04025-23,True,False,False
C3L-04025-24,True,False,False
C3L-04025-25,True,False,False
C3L-04025-26,True,False,False
C3L-04025-27,True,False,False
C3L-04025-28,True,False,False
C3L-04354-21,True,False,False
C3L-04354-22,True,False,False
C3L-04354-23,True,False,False
C3L-04354-24,True,False,False
C3L-04354-25,True,False,False
C3L-04354-26,True,False,False
C3L-04354-27,True,False,False
C3L-04354-28,True,False,False
C3L-04791-21,True,False,False
C3L-04791-22,True,False,False
C3L-04791-23,True,False,False
C3L-04791-24,True,False,False
C3L-04791-25,True,False,False
C3L-04791-26,True,False,False
C3L-04791-27,True,False,False
C3L-04791-28,True,False,False
C3L-04844-21,True,False,False
C3L-04844-22,True,False,False
C3L-04844-23,True,False,False
C3L-04849-21,True,False,False
C3L-04849-22,True,False,False
C3N-00204-21,True,False,False
C3N-00204-22,True,False,False
C3N-00204-23,True,False,False
C3N-00204-24,True,False,False
C3N-00204-26,True,False,False
C3N-00204-27,True,False,False
C3N-00295-21,True,False,False
C3N-00295-22,True,False,False
C3N-00295-23,True,False,False
C3N-00295-24,True,False,False
C3N-00295-25,True,False,False
C3N-00297-21,True,False,False
C3N-00297-22,True,False,False
C3N-00297-23,True,False,False
C3N-00297-24,True,False,False
C3N-00297-25,True,False,False
C3N-00299-21,True,False,False
C3N-00299-22,True,False,False
C3N-00299-23,True,False,False
C3N-00299-24,True,False,False
C3N-00299-25,True,False,False
C3N-00306-21,True,False,False
C3N-00306-22,True,False,False
C3N-00306-23,True,False,False
C3N-00306-24,True,False,False
C3N-00306-25,True,False,False
C3N-00307-21,True,False,False
C3N-00307-22,True,False,False
C3N-00307-23,True,False,False
C3N-00307-24,True,False,False
C3N-00307-25,True,False,False
C3N-00498-21,True,False,False
C3N-00498-22,True,False,False
C3N-00498-23,True,False,False
C3N-00498-24,True,False,False
C3N-00498-25,True,False,False
C3N-00519-21,True,False,False
C3N-00519-22,True,False,False
C3N-00519-23,True,False,False
C3N-00519-24,True,False,False
C3N-00519-25,True,False,False
C3N-00822-21,True,False,False
C3N-00822-22,True,False,False
C3N-00822-25,True,False,False
C3N-00828-21,True,False,False
C3N-00828-22,True,False,False
C3N-00828-23,True,False,False
C3N-00828-24,True,False,False
C3N-00828-25,True,False,False
C3N-00829-21,True,False,False
C3N-00829-22,True,False,False
C3N-00829-23,True,False,False
C3N-00829-24,True,False,False
C3N-00829-25,True,False,False
C3N-00846-21,True,False,False
C3N-00846-22,True,False,False
C3N-00846-23,True,False,False
C3N-00846-26,True,False,False
C3N-01337-24,True,False,False
C3N-01337-25,True,False,False
C3N-01337-26,True,False,False
C3N-01338-21,True,False,False
C3N-01338-22,True,False,False
C3N-01338-25,True,False,False
C3N-01339-21,True,False,False
C3N-01339-22,True,False,False
C3N-01339-25,True,False,False
C3N-01620-21,True,False,False
C3N-01620-23,True,False,False
C3N-01620-25,True,False,False
C3N-01643-23,True,False,False
C3N-01643-24,True,False,False
C3N-01645-22,True,False,False
C3N-01645-23,True,False,False
C3N-01645-25,True,False,False
C3N-01752-21,True,False,False
C3N-01752-22,True,False,False
C3N-01754-21,True,False,False
C3N-01754-22,True,False,False
C3N-01754-24,True,False,False
C3N-01755-21,True,False,False
C3N-01755-22,True,False,False
C3N-01755-23,True,False,False
C3N-01756-21,True,False,False
C3N-01756-25,True,False,False
C3N-01757-24,True,False,False
C3N-01758-21,True,False,False
C3N-01758-22,True,False,False
C3N-01758-23,True,False,False
C3N-01758-24,True,False,False
C3N-01858-21,True,False,False
C3N-01858-22,True,False,False
C3N-01943-22,True,False,False
C3N-01943-23,True,False,False
C3N-01946-21,True,False,False
C3N-01946-24,True,False,False
C3N-01947-22,True,False,False
C3N-01947-25,True,False,False
C3N-01948-21,True,False,False
C3N-01948-23,True,False,False
C3N-02333-21,True,False,False
C3N-02333-22,True,False,False
C3N-02333-23,True,False,False
C3N-02333-26,True,False,False
C3N-02693-21,True,False,False
C3N-02694-22,True,False,False
C3N-02694-23,True,False,False
C3N-02695-21,True,False,False
C3N-02695-22,True,False,False
C3N-02695-24,True,False,False
C3N-02713-21,True,False,False
C3N-02713-22,True,False,False
C3N-02713-23,True,False,False
C3N-02713-26,True,False,False
C3N-02714-21,True,False,False
C3N-02714-22,True,False,False
C3N-02714-23,True,False,False
C3N-02714-26,True,False,False
C3N-02716-21,True,False,False
C3N-02716-22,True,False,False
C3N-02716-23,True,False,False
C3N-02925-21,True,False,False
C3N-02925-22,True,False,False
C3N-02925-23,True,False,False
C3N-03008-21,True,False,False
C3N-03008-23,True,False,False
C3N-03009-23,True,False,False
C3N-03011-21,True,False,False
C3N-03011-22,True,False,False
C3N-03011-23,True,False,False
C3N-03012-21,True,False,False
C3N-03012-25,True,False,False
C3N-03013-21,True,False,False
C3N-03013-23,True,False,False
C3N-03015-21,True,False,False
C3N-03027-21,True,False,False
C3N-03027-23,True,False,False
C3N-03028-21,True,False,False
C3N-03028-24,True,False,False
C3N-03042-21,True,False,False
C3N-03042-22,True,False,False
C3N-03042-23,True,False,False
C3N-03042-24,True,False,False
C3N-03042-25,True,False,False
C3N-03042-26,True,False,False
C3N-03045-21,True,False,False
C3N-03045-22,True,False,False
C3N-03226-21,True,False,False
C3N-03226-22,True,False,False
C3N-03226-23,True,False,False
C3N-03226-26,True,False,False
C3N-03457-22,True,False,False
C3N-03457-23,True,False,False
C3N-03458-21,True,False,False
C3N-03488-21,True,False,False
C3N-03488-22,True,False,False
C3N-03488-23,True,False,False
C3N-03488-26,True,False,False
C3N-03490-21,True,False,False
C3N-03490-22,True,False,False
C3N-03490-23,True,False,False
C3N-03490-26,True,False,False
C3N-03612-21,True,False,False
C3N-03612-22,True,False,False
C3N-03612-23,True,False,False
C3N-03612-26,True,False,False
C3N-03620-21,True,False,False
C3N-03620-22,True,False,False
C3N-03620-23,True,False,False
C3N-03620-26,True,False,False
C3N-03781-21,True,False,False
C3N-03781-24,True,False,False
C3N-03782-21,True,False,False
C3N-03782-22,True,False,False
C3N-03783-21,True,False,False
C3N-03783-23,True,False,False
C3N-03785-23,True,False,False
C3N-03785-24,True,False,False
C3N-03837-21,True,False,False
C3N-03837-22,True,False,False
C3N-03837-23,True,False,False
C3N-03841-21,True,False,False
C3N-03841-22,True,False,False
C3N-03841-23,True,False,False
C3N-03849-21,True,False,False
C3N-03849-22,True,False,False
C3N-03849-23,True,False,False
C3N-03878-21,True,False,False
C3N-03878-22,True,False,False
C3N-03878-23,True,False,False
C3N-03933-21,True,False,False
C3N-03933-22,True,False,False
C3N-03933-23,True,False,False
C3N-03933-26,True,False,False
C3N-04151-21,True,False,False
C3N-04151-22,True,False,False
C3N-04151-23,True,False,False
C3N-04151-26,True,False,False
C3N-04153-21,True,False,False
C3N-04153-22,True,False,False
C3N-04153-23,True,False,False
C3N-04153-26,True,False,False
C3N-04273-21,True,False,False
C3N-04273-23,True,False,False
C3N-04273-25,True,False,False
C3N-04275-24,True,False,False
C3N-04275-25,True,False,False
C3N-04276-21,True,False,False
C3N-04277-22,True,False,False
C3N-04277-24,True,False,False
C3N-04278-21,True,False,False
C3N-04278-25,True,False,False
C3N-04279-21,True,False,False
C3N-04280-23,True,False,False
C3N-04611-21,True,False,False
C3N-04611-22,True,False,False
C3N-04611-23,True,False,False
C3N-04611-26,True,False,False
TCGA-DR-A0ZM-01Z-00-DX1.74DA4FCA-3876-4C06-85B9-D20456B89903,True,False,False
TCGA-EA-A410-01Z-00-DX1.40217EF9-3F9A-4669-A78E-AC851F62E532,True,False,False
TCGA-EA-A4BA-01Z-00-DX1.7EB090B2-E79E-417F-A871-247353679D7B,True,False,False
TCGA-EA-A556-01Z-00-DX1.08D384ED-C0AF-429B-8E7E-0B2BEAB2E90A,True,False,False
TCGA-FU-A57G-01Z-00-DX1.3007337B-A044-4831-B957-F8740E9ACB4E,True,False,False
TCGA-JW-A5VH-01Z-00-DX1.1A81423C-5E6B-4766-947B-E7E32A7CDBA6,True,False,False
TCGA-BI-A0VR-01Z-00-DX1.69847920-5A6E-4318-9AD8-6EC9EECD1B3A,True,False,False
TCGA-BI-A20A-01Z-00-DX1.308DB77E-2A99-4E4F-B231-F88A0E1AA145,True,False,False
