,train,val,test
TCGA-DR-A0ZM-01Z-00-DX1.74DA4FCA-3876-4C06-85B9-D20456B89903,True,False,False
TCGA-EA-A410-01Z-00-DX1.40217EF9-3F9A-4669-A78E-AC851F62E532,True,False,False
TCGA-EA-A4BA-01Z-00-DX1.7EB090B2-E79E-417F-A871-247353679D7B,True,False,False
TCGA-EA-A556-01Z-00-DX1.08D384ED-C0AF-429B-8E7E-0B2BEAB2E90A,True,False,False
TCGA-FU-A57G-01Z-00-DX1.3007337B-A044-4831-B957-F8740E9ACB4E,True,False,False
TCGA-JW-A5VH-01Z-00-DX1.1A81423C-5E6B-4766-947B-E7E32A7CDBA6,True,False,False
TCGA-BI-A0VR-01Z-00-DX1.69847920-5A6E-4318-9AD8-6EC9EECD1B3A,True,False,False
TCGA-BI-A20A-01Z-00-DX1.308DB77E-2A99-4E4F-B231-F88A0E1AA145,True,False,False
TCGA-C5-A0TN-01Z-00-DX1.D5AB52B6-AD7D-494F-B1AC-E3A72EAD9F51,True,False,False
TCGA-C5-A1BE-01Z-00-DX1.C6EB1805-CF3F-4ECC-8014-ED0AB4AF7911,True,False,False
TCGA-C5-A1BF-01Z-00-DX1.293186DB-FB68-4C45-91FC-5C0A789B1D2D,True,False,False
TCGA-C5-A1BI-01Z-00-DX1.8BDACB17-D5CF-4462-B58F-8C1AF589E093,True,False,False
TCGA-C5-A1BJ-01Z-00-DX1.178689C8-25A8-4BE9-B5CF-0D04CCD65CDF,True,False,False
TCGA-C5-A1BK-01Z-00-DX1.B01FAC89-30CC-4CDB-9104-844DB4069EF8,True,False,False
TCGA-C5-A1BL-01Z-00-DX1.E71D7185-85C2-4E08-AA56-006B08FBD630,True,False,False
TCGA-C5-A1BM-01Z-00-DX1.81ABAED9-1156-4159-BFC7-53FA341FE00F,True,False,False
TCGA-C5-A1BN-01Z-00-DX1.75ED1BD9-C458-42D3-8A98-8FE41BB9CC2E,True,False,False
TCGA-C5-A1BQ-01Z-00-DX1.72164F1F-956F-4C46-A7B7-CBF8DBEC2E56,True,False,False
TCGA-C5-A1M5-01Z-00-DX1.37D62003-2428-42E7-8396-72C3C04F7E68,True,False,False
TCGA-C5-A1M6-01Z-00-DX1.13F7405D-AD0E-4A1C-9DF4-00DC90756D28,True,False,False
TCGA-C5-A1M9-01Z-00-DX1.A84760B1-02A8-4380-954A-7A4133E9C763,True,False,False
TCGA-C5-A1ME-01Z-00-DX1.44645529-F452-49AD-8044-0C43DDBAE774,True,False,False
TCGA-C5-A1MI-01Z-00-DX1.93D2D53E-C990-4CEE-AF61-A841A3798A74,True,False,False
TCGA-C5-A1MJ-01Z-00-DX1.727E1B5B-6DBE-4D79-B8D9-0C6C9BFA3204,True,False,False
TCGA-C5-A1MK-01Z-00-DX1.2C5781B3-C7E1-46CE-8853-E99497A60571,True,False,False
TCGA-C5-A1MN-01Z-00-DX1.2D1DE4B8-7463-4708-872E-DA9D8DA2E421,True,False,False
TCGA-C5-A1MP-01Z-00-DX1.7B976D22-AA7D-45CD-9624-E1BA41D74312,True,False,False
TCGA-C5-A2LS-01Z-00-DX1.9856EC9C-04C8-4784-B294-0D515F20A6AF,True,False,False
TCGA-C5-A2LT-01Z-00-DX1.3976C725-D766-468F-92BF-789D5280C11B,True,False,False
TCGA-C5-A2LZ-01Z-00-DX1.D5CB77BD-EDA8-4D2E-8041-DFB946A131C1,True,False,False
TCGA-C5-A2M1-01Z-00-DX1.E03FE8EC-002B-4673-ACC5-A32F1CA94A98,True,False,False
TCGA-C5-A2M2-01Z-00-DX1.145589C8-870A-49BD-BC54-A8951E2DEDE3,True,False,False
TCGA-C5-A3HD-01Z-00-DX1.11EECACD-371A-4B16-A21A-8E2A2258D3A9,True,False,False
TCGA-C5-A3HE-01Z-00-DX1.9792538B-1DA9-41F0-B1F3-5C13B23AA7E0,True,False,False
TCGA-C5-A3HL-01Z-00-DX1.324403AE-C1AC-4562-9EC8-9F4287C03FA1,True,False,False
TCGA-C5-A7CG-01Z-00-DX1.42D2FD26-D8ED-49DA-AEF0-FCAD9DB6B4BD,True,False,False
TCGA-C5-A7CH-01Z-00-DX1.135C076E-0B56-415F-9693-74730157730F,True,False,False
TCGA-C5-A7CJ-01Z-00-DX1.BEDCF053-02EE-4A5F-8134-C8E2AB556ED4,True,False,False
TCGA-C5-A7CK-01Z-00-DX1.F2C3A27B-494E-491F-9E3B-B91B20E50C6C,True,False,False
TCGA-C5-A7CL-01Z-00-DX1.AF88B99D-C1BB-489F-BAD4-F65119B1938F,True,False,False
TCGA-C5-A7CM-01Z-00-DX1.A1886113-2505-4EE3-8170-389AB304EE6C,True,False,False
TCGA-C5-A7UE-01Z-00-DX1.7C6A6BB7-0BA8-47A1-A712-21D889293AFE,True,False,False
TCGA-DG-A2KH-01Z-00-DX1.A223508A-D3EE-4EB0-9578-C8926FF625E3,True,False,False
TCGA-DG-A2KK-01Z-00-DX1.248D92C3-AD5B-4F3C-AE5C-6F8C70C7AE87,True,False,False
TCGA-DG-A2KL-01Z-00-DX1.BB898567-DB9E-45B3-BFF2-EE4EC2B4B5BC,True,False,False
TCGA-DG-A2KM-01Z-00-DX1.58F88374-0268-4314-B75D-BF04DA186995,True,False,False
TCGA-DR-A0ZL-01Z-00-DX1.C11BCD07-A8F4-4F1D-9AE2-5A118E8AE95C,True,False,False
TCGA-DS-A0VM-01Z-00-DX2.02913549-89AB-4963-BED2-3E0D8AE414E7,True,False,False
TCGA-DS-A0VM-01Z-00-DX1.9F3A1D5D-297F-42ED-BAB3-AD272B9D3F93,True,False,False
TCGA-DS-A0VN-01Z-00-DX1.DD5F880D-4BA9-45EB-8023-8BA6B59EF32D,True,False,False
TCGA-DS-A3LQ-01Z-00-DX1.14D94FE2-60A6-49FD-8E8E-325C2C39B550,True,False,False
TCGA-EA-A1QS-01Z-00-DX1.7BB98DFE-C3C5-459A-BEE8-6ECCEC27B223,True,False,False
TCGA-EA-A1QT-01Z-00-DX1.3CF9DD48-AC8F-4DE1-A155-5F2DE5A58976,True,False,False
TCGA-EA-A3HQ-01Z-00-DX1.13225BE1-091D-41DA-8B4D-C91B1A0CC9D6,True,False,False
TCGA-EA-A3HR-01Z-00-DX1.E3ED09EE-1667-42DD-A1F5-F430CE9A2A25,True,False,False
TCGA-EA-A3HT-01Z-00-DX1.6B374081-2ECB-4973-8AE7-BF8FA9F00BBC,True,False,False
TCGA-EA-A3HU-01Z-00-DX1.74B5BF15-FB92-4426-99F3-C3D58CD9FE18,True,False,False
TCGA-EA-A3QD-01Z-00-DX1.247BDFE4-6352-4531-83CC-D30D5945CAE2,True,False,False
TCGA-EA-A3Y4-01Z-00-DX1.05FCBE75-3B24-4905-96D7-E9676EF69003,True,False,False
TCGA-EA-A411-01Z-00-DX1.F166825A-38D6-4846-883F-74719F578A94,True,False,False
