,train,val,test
0,C3L-00977-22,C3N-01339-21,C3N-03015-21
1,C3L-00977-26,C3N-01339-22,C3N-03015-22
2,C3L-00987-21,C3N-01339-25,C3N-03009-21
3,C3L-00987-22,C3N-03933-21,C3N-03009-23
4,C3L-00987-23,C3N-03933-22,C3N-03009-25
5,C3L-00987-24,C3N-03933-23,C3N-03928-21
6,C3L-00987-26,C3N-03933-26,C3N-03928-22
7,C3L-00987-27,C3N-02275-22,C3N-03928-23
8,C3L-00994-21,C3N-02275-23,C3N-03928-26
9,C3L-00994-22,C3N-02275-24,C3N-01943-22
10,C3L-00994-23,C3N-03889-21,C3N-01943-23
11,C3L-00994-24,C3N-03889-22,C3N-01943-26
12,C3L-00994-26,C3N-03889-23,C3L-00999-21
13,C3L-00994-27,C3N-03889-26,C3L-00999-24
14,C3L-00995-21,C3L-04025-21,C3L-00999-26
15,C3L-00995-22,C3L-04025-22,C3N-01755-21
16,C3L-00995-23,C3L-04025-23,C3N-01755-22
17,C3L-00995-24,C3L-04025-24,C3N-01755-23
18,C3L-00995-26,C3L-04025-25,C3N-02694-22
19,C3L-00995-27,C3L-04025-26,C3N-02694-23
20,C3L-00997-21,C3L-04025-27,C3N-01620-21
21,C3L-00997-24,C3L-04025-28,C3N-01620-23
22,C3L-00997-27,C3N-03785-23,C3N-01620-25
23,C3L-01138-21,C3N-03785-24,C3N-03619-21
24,C3L-01138-26,C3N-04151-21,C3N-03619-22
25,C3L-01237-24,C3N-04151-22,C3N-03619-23
26,C3L-01237-26,C3N-04151-23,C3N-03619-26
27,C3L-02617-21,C3N-04151-26,C3N-04278-21
28,C3L-02617-22,C3N-03488-21,C3N-04278-25
29,C3L-02617-23,C3N-03488-22,C3N-02925-21
30,C3L-02617-24,C3N-03488-23,C3N-02925-22
31,C3L-02617-25,C3N-03488-26,C3N-02925-23
32,C3L-02617-26,C3L-04791-21,
33,C3L-02617-27,C3L-04791-22,
34,C3L-02617-28,C3L-04791-23,
35,C3L-02621-21,C3L-04791-24,
36,C3L-02621-22,C3L-04791-25,
37,C3L-02621-23,C3L-04791-26,
38,C3L-02621-24,C3L-04791-27,
39,C3L-02621-25,C3L-04791-28,
40,C3L-02621-26,C3N-04276-21,
41,C3L-02621-27,C3N-04276-26,
42,C3L-02621-28,C3L-04849-21,
43,C3L-02651-21,C3L-04849-22,
44,C3L-02651-22,C3L-04849-23,
45,C3L-02651-23,,
46,C3L-02651-24,,
47,C3L-02651-25,,
48,C3L-02651-26,,
49,C3L-02651-27,,
50,C3L-02651-28,,
51,C3L-03378-24,,
52,C3L-03378-25,,
53,C3L-04354-21,,
54,C3L-04354-22,,
55,C3L-04354-23,,
56,C3L-04354-24,,
57,C3L-04354-25,,
58,C3L-04354-26,,
59,C3L-04354-27,,
60,C3L-04354-28,,
61,C3L-04844-21,,
62,C3L-04844-22,,
63,C3L-04844-23,,
64,C3N-00204-21,,
65,C3N-00204-22,,
66,C3N-00204-23,,
67,C3N-00204-24,,
68,C3N-00204-26,,
69,C3N-00204-27,,
70,C3N-00295-21,,
71,C3N-00295-22,,
72,C3N-00295-23,,
73,C3N-00295-24,,
74,C3N-00295-25,,
75,C3N-00297-21,,
76,C3N-00297-22,,
77,C3N-00297-23,,
78,C3N-00297-24,,
79,C3N-00297-25,,
80,C3N-00299-21,,
81,C3N-00299-22,,
82,C3N-00299-23,,
83,C3N-00299-24,,
84,C3N-00299-25,,
85,C3N-00306-21,,
86,C3N-00306-22,,
87,C3N-00306-23,,
88,C3N-00306-24,,
89,C3N-00306-25,,
90,C3N-00307-21,,
91,C3N-00307-22,,
92,C3N-00307-23,,
93,C3N-00307-24,,
94,C3N-00307-25,,
95,C3N-00498-21,,
96,C3N-00498-22,,
97,C3N-00498-23,,
98,C3N-00498-24,,
99,C3N-00498-25,,
100,C3N-00519-21,,
101,C3N-00519-22,,
102,C3N-00519-23,,
103,C3N-00519-24,,
104,C3N-00519-25,,
105,C3N-00822-21,,
106,C3N-00822-22,,
107,C3N-00822-25,,
108,C3N-00825-23,,
109,C3N-00825-24,,
110,C3N-00825-25,,
111,C3N-00828-21,,
112,C3N-00828-22,,
113,C3N-00828-23,,
114,C3N-00828-24,,
115,C3N-00828-25,,
